AppName,URL,Expected
AuthService,https://httpbin.org/status/200,
PaymentAPI,https://httpbin.org/json,
UserService,https://httpbin.org/get,
OrderService,https://httpstat.us/200,OK
InventoryAPI,https://httpbin.org/uuid,
FlakyService,http://18.237.102.97:8000/health/flaky,
SlowService,https://httpbin.org/delay/2,
y,http://18.237.102.97:8000/health/ok,OK
EPAS_Unhealthy,http://18.237.102.97:8000/health/fail,
EPAS_Restart,http://18.237.102.97:8000/health/epas,OKHealth Check Execution,http://18.237.102.97:8000/health/epas,OK
